Fecha,Tipo Entidad,Código Entidad,Código Tipo Persona,Código Sexo,Código Tipo Garantía,Código Tamaño Empresa,Código Tipo Crédito,Código Producto,Código Plazo,Monto Desembolsado,Tasa,Margen UVR,Número Desembolsos,Código Grupo Étnico,Tipo Tasa,Código Clase Deudor,Código Antiguedad,Código Rango Monto,Código CIIU,Código Municipio
2023-09-29 00:00:00,1,1,1,1,1,1,3,301,201,$1800000,42.02,0,3,7,FS,1,10,201,1521,8001
2023-09-29 00:00:00,1,1,1,1,1,1,3,301,201,$1800000,42.02,0,3,7,FS,2,10,201,510,25183
2023-09-29 00:00:00,1,1,1,1,1,1,3,301,201,$1900000,42.02,0,1,7,FS,2,10,202,1811,8001
2023-09-29 00:00:00,1,1,1,1,1,1,3,301,201,$2000000,42.02,0,1,7,FS,1,10,202,4923,11001
2023-09-29 00:00:00,1,1,1,1,1,1,3,301,201,$2000000,42.02,0,1,7,FS,1,10,202,4711,25320
2023-09-29 00:00:00,1,1,1,1,1,1,3,301,201,$2000000,42.02,0,3,7,FS,2,10,201,10,25175
2023-09-29 00:00:00,1,1,1,1,1,1,3,301,201,$2000000,42.02,0,4,7,FS,2,10,201,10,52001
2023-09-29 00:00:00,1,1,1,1,1,1,3,301,201,$2200000,32.51,0,1,7,FS,1,10,202,4923,5284
2023-09-29 00:00:00,1,1,1,1,1,1,3,301,201,$2230000,42.02,0,1,7,FS,1,10,202,4741,44001
2023-09-29 00:00:00,1,1,1,1,1,1,3,301,201,$2400000,42.02,0,4,7,FS,2,10,201,4290,18001
2023-09-29 00:00:00,1,1,1,1,1,1,3,301,201,$2500000,42.02,0,1,7,FS,1,10,202,4752,25875
2023-09-29 00:00:00,1,1,1,1,1,1,3,301,201,$2500000,42.02,0,3,7,FS,1,10,201,10,68276
2023-09-29 00:00:00,1,1,1,1,1,1,3,301,201,$2850000,32.51,0,1,7,FS,2,10,202,9609,19001
2023-09-29 00:00:00,1,1,1,1,1,1,3,301,201,$2930000,32.51,0,2,7,FS,1,10,202,3312,73411
2023-09-29 00:00:00,1,1,1,1,1,1,3,301,201,$3000000,32.51,0,1,7,FS,2,10,202,10,85001
2023-09-29 00:00:00,1,1,1,1,1,1,3,301,201,$3000000,42.02,0,1,7,FS,2,10,202,10,5001
2023-09-29 00:00:00,1,1,1,1,1,1,3,301,201,$3200000,42.02,0,1,7,FS,1,10,202,10,44001
2023-09-29 00:00:00,1,1,1,1,1,1,3,301,201,$3220000,42.02,0,7,7,FS,2,10,201,10,8001
2023-09-29 00:00:00,1,1,1,1,1,1,3,301,201,$3400000,40.12,0,6,7,FS,2,10,201,10,25754
2023-09-29 00:00:00,1,1,1,1,1,1,3,301,201,$3600000,42.02,0,5,7,FS,1,10,201,10,73001
2023-09-29 00:00:00,1,1,1,1,1,1,3,301,201,$4000000,28.48,0,1,7,FS,2,10,203,7490,25754
2023-09-29 00:00:00,1,1,1,1,1,1,3,301,201,$4500000,42.02,0,1,7,FS,2,10,203,162,81001
2023-09-29 00:00:00,1,1,1,1,1,1,3,301,201,$4500000,42.02,0,2,7,FS,2,10,202,10,11001
2023-09-29 00:00:00,1,1,1,1,1,1,3,301,201,$4840000,35.6,0,2,7,FS,2,10,202,4631,47001
2023-09-29 00:00:00,1,1,1,1,1,1,3,301,201,$5000000,35.6,0,1,7,FS,1,10,203,4329,5088
2023-09-29 00:00:00,1,1,1,1,1,1,3,301,201,$5000000,35.6,0,1,7,FS,1,10,203,10,54001
2023-09-29 00:00:00,1,1,1,1,1,1,3,301,201,$5000000,35.6,0,1,7,FS,2,10,203,4631,41396
2023-09-29 00:00:00,1,1,1,1,1,1,3,301,201,$5100000,35.6,0,1,7,FS,2,10,203,10,11001
2023-09-29 00:00:00,1,1,1,1,1,1,3,301,201,$6000000,35.6,0,2,7,FS,2,10,202,10,25175
2023-09-29 00:00:00,1,1,1,1,1,1,3,301,201,$6100000,38.97,0,3,7,FS,1,10,202,10,11001
2023-09-29 00:00:00,1,1,1,1,1,1,3,301,201,$6180000,42.02,0,12,7,FS,2,10,201,10,76001
2023-09-29 00:00:00,1,1,1,1,1,1,3,301,201,$7000000,42.02,0,1,7,FS,1,10,204,10,11001
2023-09-29 00:00:00,1,1,1,1,1,1,3,301,201,$8700000,39.8,0,2,7,FS,2,10,203,10,68001
2023-09-29 00:00:00,1,1,1,1,1,1,3,301,201,$9000000,42.02,0,1,7,FS,1,10,204,10,13001
2023-09-29 00:00:00,1,1,1,1,1,1,3,301,201,$9030000,41.67,0,33,7,FS,2,10,201,10,11001
2023-09-29 00:00:00,1,1,1,1,1,1,3,301,201,$9600000,42.02,0,2,7,FS,1,10,203,10,11001
2023-09-29 00:00:00,1,1,1,1,1,1,3,301,201,$9840000,42.02,0,1,7,FS,2,10,204,4631,85001
2023-09-29 00:00:00,1,1,1,1,1,1,3,301,201,$9981000,35.6,0,2,7,FS,1,10,203,4711,76275
2023-09-29 00:00:00,1,1,1,1,1,1,3,301,201,$10000000,42.02,0,1,7,FS,1,10,204,4723,11001
2023-09-29 00:00:00,1,1,1,1,1,1,3,301,201,$10000000,42.02,0,1,7,FS,1,10,204,4772,20001
2023-09-29 00:00:00,1,1,1,1,1,1,3,301,201,$11774000,41.12,0,31,7,FS,1,10,201,10,11001
2023-09-29 00:00:00,1,1,1,1,1,1,3,301,201,$12900000,42.02,0,1,7,FS,1,10,205,10,20001
